"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-05-08","54","65","43"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-05-09","66","83","56"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-05-10","77","89","69"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-05-11","83","90","74"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-05-12","81","91","74"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-05-13","80","89","68"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-05-14","77","86","67"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-05-15","71","76","58"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-05-16","65","78","54"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-05-17","61","68","51"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-05-18","55","60","52"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-05-19","66","86","53"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-05-20","75","86","58"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-05-21","61","62","54"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-05-22","58","63","50"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-05-23","54","61","45"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-05-24","57","66","49"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-05-25","62","79","54"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-05-26","72","77","64"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-05-27","60","64","51"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-05-28","61","74","49"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-05-29","72","85","63"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-05-30","78","89","70"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-05-31","81","86","74"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-06-01","73","74","59"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-06-02","66","77","58"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-06-03","70","81","58"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-06-04","65","71","54"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-06-05","66","77","58"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-06-06","69","76","57"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-06-07","62","72","56"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-06-08","62","69","56"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-06-09","63","78","53"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-06-10","67","78","58"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-06-11","65","73","59"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-06-12","67","70","58"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-06-13","70","89","57"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-06-14","81","98","65"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-06-15","89","96","76"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-06-16","85","94","72"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-06-17","79","84","64"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-06-18","68","72","55"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-06-19","66","85","52"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-06-20","79","95","64"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-06-21","85","99","73"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-06-22","85","89","72"
